iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_number_of_people,e_waste_tons_year,total_waste_generated
SRB,ECS,Serbia,UMC,18351.27344,37.62,5.44,1.38,16.72,13.57,12.73,Yes,Yes,NA,6944975,14388,2347401.5
SSD,SSF,South Sudan,LIC,1795.991943,NA,NA,NA,NA,NA,NA,NA,NA,NA,11177490,NA,2680681
STP,SSF,São Tomé and Príncipe,LMC,3720.786865,NA,NA,NA,NA,NA,NA,NA,NA,NA,191266,200,25586.5
SUR,LCN,Suriname,UMC,16953.80273,57,3,3,24,NA,11,No,No,No,526103,5000,78619.79915
SVK,ECS,Slovak Republic,HIC,31965.76172,42,19,2,1,25,11,Yes,Yes,NA,5454073,30911,2296164.75
SVN,ECS,Slovenia,HIC,39037.93359,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,2087946,26359,1052324.75
SWE,ECS,Sweden,HIC,52608.71094,23.34,9.15,9.2,NA,36.4,6.58,Yes,Yes,NA,10285453,721671,4618168.5
SWZ,SSF,Eswatini,LMC,8321.106445,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343098,5700,218199.47
SXM,LCN,Sint Maarten (Dutch part),HIC,NA,46,7,7,12,15,13,Yes,Yes,Yes,37685,NA,NA
SYC,SSF,Seychelles,HIC,23302.95313,48.5,5.2,4.6,25.8,5.9,9.9,Yes,Yes,Yes,88303,1100,48000
SYR,MEA,Syrian Arab Republic,LIC,8587.050781,57,3,4,22,7,7,Yes,Yes,NA,20824892,NA,4500000
TCA,LCN,Turks and Caicos Islands,HIC,28174.48242,21.8,20.5,7.6,2.4,31.5,16.3,NA,Yes,NA,34900,NA,NA
TCD,SSF,Chad,LIC,1732.691284,70,1,2,18,3,6,NA,NA,NA,11887202,8800,1358850.53
TGO,SSF,Togo,LIC,1404.132935,38,2,4,42,4,10,Yes,Yes,NA,7228915,6400,1109030.45
THA,EAS,Thailand,UMC,16301.53809,65.52,3.04,1.85,4.74,7.6,17.59,Yes,Yes,NA,68657600,384233,26853366
TJK,ECS,Tajikistan,LIC,2616.475586,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,8177809,NA,1787400
TKM,ECS,Turkmenistan,UMC,11471.18652,16.18,4.64,11.44,62.54,NA,2.19,Yes,Yes,NA,5366277,22000,500000
TLS,EAS,Timor-Leste,LMC,3344.57373,43.6,5.5,10,9.3,10.9,16.5,Yes,Yes,NA,1268671,3600,63875
TON,EAS,Tonga,UMC,5636.418457,51.3,5.9,9,8.9,7.4,13.4,Yes,Yes,NA,104951,300,17238.20175
TTO,LCN,Trinidad and Tobago,HIC,28910.9082,27.15,10.15,3.74,17.19,22.6,19.17,Yes,Yes,Yes,1328100,71.07,727874
TUN,MEA,Tunisia,LMC,10505.2627,68,2,4,5,10,11,Yes,Yes,Yes,11143908,90000,2700000
TUR,ECS,Turkey,UMC,28289.08789,64,2,1,24,6,3,Yes,Yes,NA,83429616,623000,35374156
TUV,EAS,Tuvalu,UMC,3793.127686,43.6,5.5,10,9.3,10.9,16.5,Yes,Yes,NA,11097,10,3989.4865
TWN,EAS,NA,HIC,57362.92578,23.34,4.11,3.07,14.11,30.01,20.23,NA,Yes,NA,23434000,14036,7336000
TZA,SSF,Tanzania,LIC,2128.553955,NA,NA,NA,NA,NA,NA,NA,Yes,NA,49082996,38000,9276995
UGA,SSF,Uganda,LIC,1972.301758,74.5,0.8,0.6,10.6,6,7.6,NA,NA,NA,35093648,25000,7045049.836
UKR,ECS,Ukraine,LMC,11534.6377,37,5,4,22,25,7,Yes,Yes,NA,45004644,277000,15242025
URY,LCN,Uruguay,HIC,20588.39258,53.5,3,5,7.5,20,11,Yes,Yes,NA,3431552,37000,1260139.509
USA,NAC,United States,HIC,61498.37109,14.9,4.4,9,3.2,26.6,12.9,Yes,Yes,Yes,326687488,2440000,265224528
UZB,ECS,Uzbekistan,LMC,5164.274414,40,3,2,17.5,17.5,2.5,Yes,Yes,NA,29774500,NA,4000000
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.99316,49.6,5.6,3.8,10.5,22.1,8.4,Yes,Yes,Yes,109455,900,31561.34925
VEN,LCN,"Venezuela, RB",UMC,14269.67383,NA,NA,NA,NA,NA,NA,No,Yes,NA,29893080,232700,9779093.14
